topic;tweet
para;Huzur, evlilik, para  gordum galiba sugar d4ddymi bulacagim ????
para;Evlilik için ilk yatırımımı (çeyrek altın)yapmış bulunmaktayım.
para;@Winb1r yüzük, zenginlik, evlilik???? zengin koca buldum galibaaa
para;Evlilik pahalılaştıkça , zina ucuzlayacaktır .
para;@lilililimarlen Çanım baa ölçüleri ve kriterleri yaz, ben çalışmaya başlayayım. 6 ayda sana power point bir sunum hazırlarım . Koca kaynakları marketing work! evlilik mukavelesi, mülk paylaşım anlaşması, boşanma durumunda nafaka be miras hakları mukavelelerini ben yaparım. Komisyonum@%10 ??????
para;Bi abim 18 22 sine kadar hayat toz pembe gelir sonra bi kadın seversin evlilik hayali kurarsın ama maddi durumun yetmez asıl o zaman hayatın ne olduğunu öğrenirsin derdi
para;"Annemler ""yaşın geldi evlilik için birikim yap"" diye dürterken benim tek umrumda olan askerlik biter bitmez işe girip para biriktirip Eyobus'un Avrupa turuna kaydolmak,2023 hedefim.."
para;"EVLENEMEYEN GENÇLER İÇİN ""EVLİLİK FONU"" OLUŞTURALIM

Ekonomik sebeplerle evlenemeyen gençler için hükümete çağrıda bulunan HÜDA PAR Genel Başkanı Zekeriya Yapıcıoğlu, Aileyi güçlendirmek için önerilerimizden biri de evlilik fonu oluşturulmasıdır. https://t.co/Rbi17Xrrs9 https://t.co/3zMiZLFgyM"
para;evlilik zenginlik bereket alırım vallaaaaa
para;@nocontextsextng @Winb1r Bereket Dolar Evlilik slkdjfjd
para;@Winb1r yüzük para evlilik
para;Dolar evlilik para dkdkdk
para;dolar zenginlik evlilik..????? hoccagalin ben gidiom??
para;@Anti_Huri Aşağı yukarı alıyoruz gibi bir şey. ?? 200 - 300 Bin Liraya tekamül ediyor aşağı yukarı. Evlilik parası.
para;"@OrgucuH Hayırlı ve bereketli olsun Canım. Aklıma müthiş bir fikir geldi; devlet ev hanımlarına da yıpranma maaşı bağlasın??Mesela 5 ve katları olmak üzere evlilik senesine göre misal ben 15 yıllık evliyim ona göre…??Nasıl ama? 
( Ne saçmalıyor diyebilirsin alınmam asla )"
para;Dipnot : Hayat standartları yükseltilmek için evlenilmez. Evlilik böyle bir şey değil, olmamalı.
para;"@Nazengulll__ Evlilik ciddi bir kurum; iPhone ondört alana nikahı basan genç bir kadın, evlendiği kişi iPhone onbeş alamazsa bu evliliğin ömrü kelebek ömrüne döner."
para;"Evlilik konusu karşılıklı anlaşmaya dayalı bir olay. Maddiyat ile sınanması çok olası bir olay hatta. Evlilik dönemine girişte iki tarafın da isteklerini birbirlerinin ""yapabilecekleri"" şeyler ile sınırlandırmaları gerektiğini düşünmek de şiddetten sayılmamalı diye düşünüyorum."
para;kimse evlilik hakkında her şey dememiş ben sizi severim canım cevherler en çok da seni sanemim cevherim
para;@Nazengulll__ @uucurumcicegi Çok ucuza gitmiyonmu ve Urfa kızları bile 2 altın kemer ediyo sen ise aifon 15 çıktı cikacak 14 e giderim diyin  evlilik sözleşmesiyle alırlarsa ne yapacak nafakada yok ??????????
para;"@AyeMut5 Herkese maaş bağlanması sonucu evlenemeyen kişiler var.

Evlilik yapanları ödüllendirici adımlar atılmalı.

Amcam eşi öldü. Yalnız kaldı. Bu yüzden oy diyor!.."
para;@AlcayirCengiz Evlenme o zaman , erkek çalışsın herşeyi yüklensin eve baksın sonra önüne bir tabak yemek koymayı çok gör , yok efendim gezmek için evlenilirmiş tek başına da gezersin , evlilik olayını da bitirdiniz!
para;@SemaDuru_71 Bu süresiz nafaka ve Adaletsiz hukuk sistemi olduğu muhletce evlilik ler olmayacak.
para;#Gündem ABD'li general yalanı: Evlilik vaadiyle 60 bin dolarını aldı https://t.co/hTmG9SewhZ
para;@mineolmez_ 2008 ve sonrası hep zorlu geçti ay oğlak olarak üniversiteye başladım bitirmem çok zaman aldı evlendim boşanmak üzereyim kötü bi evlilik deneyimim oldu bir tane oğlum var ama hala doğru düzgün bir işim yok yeni yılda her şey değişir umarım
para;"AMERİKAN GENERAL YALANI
Evlilik vaadine 1 milyon kaptırdı https://t.co/rpZBMkcOBa https://t.co/6x3SgjjK4u"
para;@avmbalci @aDilipak böyle bir cağda evlilik hayal etmek maddi ve manevi olarak çok zorlaştı sonuçlar normal haricinde bireysel özgürlük hissi de ayrı bir sorun belli bir yaşa kadar  bir de feminist duygular içeren kadınlar ilişki zaten ayrı bir endişe  kanunlar desen bir imza atıyorsun artık bittin
para;"Zorla ve berdel, başlık parası vb. çıkarlarla yaptırılan evliliklerin önünde şiddetle durmak lazım.

Bir diğer konu da, eğitim, iş, kariyer, bireysel düşünme gibi nedenlerle giderek yükselen evlilik yaşının gerek bireysel gerekse sosyal travmalara neden olması."
para;@dnz_2763 Bu zamanda evlilik zor bireysel olmak daha ekonomik acı gerçek ????
para;@erdogank_1973 @vedatbilgn Erdoğan abi benim eyt tamam olduda birde şu süresiz nafakaya el atsak onuda süreli yapsalar ne iyi olur yüzünü unuttugum kadına 1750 TL tam 11 yıldır nafaka ödüyorum artık seni bakanlar taniyor şu kadinlarada yoksulluk nafakasini evlilik aile fonu kursunlar boşanan kişilere ordan
para;@sevdaturkusev Bu kadından ne köy olur nede kasaba bunun gibiler zengin erkek avcısıdır evlilik dışı yaşar gezer eğlenir yer içer
para;"@Fulhem570 @yasadisi31 ""Evlilik eşitliğini desteklememek, sadece finansal düzeyde bile zararlı."" - Courtney Act

 https://t.co/sGaCvSSf49"
para;@1881_Atam1938 @nasuhbektas Tek servetinin evlilik yüzüğü olduğunu söyleyen biri vardı. Şimdi ne yapıyor acaba ??
para;"90 nesli, kendi zamanlarının ekmeğini bol bol yediler, arsa aldılar, ev aldılar, dükkan aldılar, hem de kredisiz.... Ve o zamandan kalan hakla emekli de oldular, oluyorlar...

2000 nesli ise kredi çekmeden mont alamaz hale geldi. 2000 neslinde evlilik düşünce haritasından çıktı!?"
para;"?? Evlilik zorlaşıyor 
Zina ucuzluyor.
Erkeklerin önünü açın.
Erkekleri ömür boyu nafaka ödemeye mahkûm edemezsiniz,
Verilen sözleri tutulsun.
 @Akparti 
@RTErdogan @bybekirbozdag @AvOzlemZengin 
@DeryaYanik https://t.co/QjTznSKH2j"
para;@Faruk53Aydin @sevdaturkusev Çalışan kadın güçlüdür. Mesleği olmayan kadına çalışmak zor gelir ve evlilik arayışına girer. Sonunda evin beslemesi olarak kocasına hizmet eder. Gerekirse dayağını yer sesini çıkaramaz oturur köşeye
para;@Akparti beni hep kandırdı 4 aylık evlilik yüzünden süresiz nafaka mağduru oldum böyle olmaz dediler adaleti sağlıcaz dediler inandım 5. Sene giriyoruz hala olmadi, stajerlik emeklilikten sayılacak dediler inandim oda olmadı artık kandiramassiniz beni çünkü inanmıyorum @RTErdogan
para;@bebekkksi @kitaponon Bende öyle ne zaman evlilik konusu açılsa maliyet hesabı yapıyorum asfdjdjxjd
para;"Bence yetmez 1 yıllık toplam maaş, bekarlara evlilik paketi,araba ve ev tapu harç ve sigorta vs de devlet ödemeli! 3 ay yaz tatili 6 ay olmalı,
1 yıllık benzin ya da tüp giderleri de karşılanmalı 85 milyon insan içersinde en önemli meslek onların! #ÖğretmenlerYüzde100Zamİstiyor"
para;@cortexiphaan Çok sikintiysa evlilik sözleşmesi imzaların olur biter ne kastın kadın olarak sokakta yuremiyorsun erkeklerin veridgi nafakayi dert edinmişsin
para;"??Babam derdi ki:
""Aile için çözüm, SÜRESİZ NAFAKANIN kaldırılmasıdır! Bu arada sırf SÜRESİZ NAFAKA için evlilik yapıp, çok sayıda insanın hayatını karartan kişilerin hukuken bir tanımı yapılmalı ve her tarafta yasal olarak TEŞHİR edilmeliler! Buna alet olanlar da yargılanmalı!"""
para;"3 ay evlilik çocuk YOOOOOKKK.
4 yıldır mahkemelerdeyim.
4 yıldır da 
#NafakaZamları ile uğraşıyorum 
@RTErdogan @ErbakanFatih"
para;@azure_azure_34 @25_er_dadas_ Bu yaşa değil altına takılan evlilik ??
para;@SineMeniS2022 Paranı al,işini yap.Evlilik yapmıyoruz burada.
para;"#YoksullukNafakasının Süresiz olması, bu #nafakayı alan tarafın, karşı tarafı ömür boyu #cezalandırmak amacıyla, gelir getirici bir işte #çalışmama ve evlilik yapmadan, birlikte yaşama gibi davranışlara itebilecektir. @RTErdogan @bybekirbozdag @adalet_bakanlik
#NafakaZamları"
para;Hadi bakalım bay kemal, @RTErdogan sayesinde torunun da emekli oldu sayılır...yaşı yetince evlilik primi ve çocuk parasını da alır artık. https://t.co/pkwFMVCRTM
para;Çoğu genç evlenemeyecek. Çoğu genç ev alamayacak. Çoğu genç araba sahibi olamayacak. Çoğu gencin ekonomik zorluklardan dolayı evlilik süresi kısa olacak. Çoğu genç 65 yaşından önce emekli olamayacak,olsalar bile para yetmeyeceği için ölene kadar çalışacak. Gençler,yaşayamayacak.
para;"@HaberReport @ban_emre Zehra hanım milletvekili olduktan sonra, Ünsal ban'ı özel dedektif gibi peşine takmış, zehra hanım hatalı gönül işi bir evlilik yapmış,
Ünsal ban:çevresini kullanmak için evlendiğini fark etmiş ayrılmaya karar vermiş,
Zehra hanım bütün birikmiş parasını da ona kaptırmış,"
para;Evlilik çok tuhaf bişey, 5 liraya domates buldum diye hanımı kolundan tutup pazara getirdim
para;"""Evlilik Pahalılaştıkça,
Zina ucuzlayacaktır...""
                   :  Elmalılı Hamdi  yazır."
para;"Evlilik kriterlerim
1-Bana Bedelli askerlik yaptırması
Bitti bu kadar aday olmak isteyenler vereceğim ibana 150 Bin Tl atıcak ben içlerinden birini seçicem(Geri ödeme yoktur verilen mal geri alınmaz)"
para;Evlilik yıl dönümünde eşine çeyrek altın alan abi, sen tasarruf tedbirlerinin bağlamı ve sürdürülebilir ekonominin can damarısın :))
para;@adaletli4423 Düşünmeyiniz çünkü artık gençler evlilik hayalleri kur(a)muyor, hepsinin tek hayali yurtdışına gitmek...
para;"Bu yıl Noel Baba gelecek mi acaba ?
Ya gelmezse 
Gelir, gelir
Ne istesem
Para, Yalı, Köşk, Ali Koç ile evlilik ??????
Bütün küçük kızların hayali budur https://t.co/WVJln18nBa"
para;@GenelKultur3 Kadının ev işleri karşılığı olarak parayı hakettiğini söyleyenler var. Peki erkek dışarıda çalışıp kazancını ailesine harcıyor. Bu durumda o da boşanırken kadın için harcadığı parayı mı geri istesin. Evlilik zaten hesap üzerine kuruluyorsa olmasın daha iyi
para;Evlilik masrafları Mısırlıları zorluyor https://t.co/mgiVvtpCtM
para;@GenelKultur3 Evlilik artık ülkemizde bir çıkar kapısı haline geldi. Evi arabasi iyi bir işi olan evleniyo olmayanda zina yapiyor. Evlenmek 250 bin zina 500 tl ne gerek var evlenmeye.
para;@ogretmenlersyfs Biz bi iş bulup çalışalım lazim değil evlilik bu zamanda evliliğin iyi bi sey olduğunu zanneden cok
para;Boşanmanın mali sonuçlarına gelince bunlar maddi ve manevi tazminat, mal paylaşımı, nafaka gibi taleplerdir. Eşler bu hususlarda tereddüte yer vermeden anlaşmış olmalıdır. Evlilik birliği içinde edinilmiş malların paylaşımı ayrıca önem arz etmektedir.
para;"@meral_aksener Türkiye'de cinsiyete dayalı maaş sistemi yok.
Maaşlar; kadro ünvanı, mezuniyeti, hizmet yılı, evlilik-bekarlık, çocuk sayısı, engellilik durumu, sendika, hayat sigortası gibi kriterlere göre belirleniyor."
para;"Evlilik muhabbeti artık paradan başka bir şey değilmiş
Duyduğum böyle"
para;"Evlilik ticaret değildir. Kadın erkek eşit diyorsak nafaka tamamen kaldırılmalıdır.
 #suresiznafaka #nafakayaçözüm #NafakaSözüTutulmadı #NafakaSoygunu  #Cumhurİttifakı
@RTErdogan
 @dbdevletbahceli
 @bybekirbozdag
 @yilmaztunc
 @mehmetucum
 @tbmmkefek
 @deryayanikashb"
para;E-devlet'e sosyal ağ eklemesi yapacağız. Artık internette tanışmak ve kaynaşmak güven içinde gerçekleşecek. Tanışma, ilişki ve evlilik konusunda kimsenin şüphesi olmayacak. Eklediğiniz kişi izin verdiği müddetçe üzerine olan tapulara kadar görebileceksiniz. İktidara yürüyoruz...
para;@Fdogan4634 evlilik ve yatırım aynı cümlede hic olmadı
para;@AlcayirCengiz Parasıyla olduktan sonra kadında bol. Evlenmeye ne gerek var. Ayrıca evlilik her zaman mutluluk getirmez. Bu kadın sırtına binecek eşşek arıyor.
para;@RohirrimHalime @GenelKultur3 Boşanmanın ardından maddi olarak zorluğa düşecek olması halinde ödenir nafaka. Yani evlilik süresi farketmez, iyi bir geliriniz varsa nafaka almazsınız. Çekilen “çilelerin” mükafatı değildir, boşanan kadının patriyarkal toplumdaki çekeceği sıkıntıları hafifletmek içindir ??
para;@icaneatstars @GenelKultur3 Bir kaç ay süren evlilik ama ömür boyu nafakayı da siz doğru mu buluyorsunuz??en azından yıllarının tazminatı olarak alabilir o kadın ama bir kaç ayın sonundaki fırsatçılıktır??
para;"@OsmanKuzucu Tıpkı;
Zenginin evlilik dışı çocuğuna aşkının meyvesi derler, fakirinki ise piç olur.

Zengin çapkınlık yapınca playboy olur, fakir yaparsa ""yollu."" 

Zengin eski giyerse ""vintage modası"" olur, fakir giyse ""eski püskü."" 

Fakir çalarsa ""hırsız"", zengin çalarsa ""kleptoman."" olur"
para;@AlcayirCengiz O zaman sen evlilik için değil kiralık koca bul kendine
para;Kadınlar nasıl hayatlarını değiştirmek için varlıklı bir erkekle evlilik yapmayı hayal edebiliyorlar? Hayatları boyunca kendi ayakları üzerinde durabilecek bişi başaramayıp evlendikten sonra her şeyi kendileri başarmış gibi nasıl yaşayabiliyorlar? Bunu nasıl yakıştırabiliyorlar?
para;"@GenelKultur3 Müebbet nafakaya hayır.
Kadınlar, emekli ve yaşlı adamların maaşını alabilmek için onlar ile evleniyor. Özellikle Azerbaycan dan kadınlar evlilik için ülkemize  getiriliyor.  Bu durum engellenmeli. Kaç yıl evli kaldı ise o kadar emekli maaşı verilmeli."
para;"#Mısır CB #Sisi, evlenecek gençlere destek olmak için Evlilik Sandığı kuracağını açıkladı.
???Finansmanı ise evlenen çiftlerden alınacak vergilerden sağlanacak.
 ???Diyor ki ""Evlenebilenler bu parayı ödeyebilir"".
???Bu proje epey eleştiri ve alay konusu oldu."
para;@SalihArslan_82 @aykiricomtr Valla kardeşim bi ton linç yemişsin ama doğru söylüyorsun. Ben 10 senedir bir Rus ile evliyim ve inan çevremdeki evlilik ve ilişkileri görunce diyorum ki iyi ki evlenmişim.Herkesin atıp tuttuğu gibi yok parası için yok şu için evlendi bahaneleri boş.Öyle varlıklı biri değilim
para;@turkoshitpost Dolar Evlilik yani zengin biriyle evlenicem yada evlenince parayı bulucam mı demek oluyo
para;@snmplatformu @TCYargitay @RTErdogan @dbdevletbahceli @bybekirbozdag @YildizFeti @mehmetucum Bu iş Ticari bir durum Evlilik kurumunun da saygınlığı bu sayede çökmüş Evlilik ne kadar doğalsa Boşanmak da o kadar doğal Süresiz nafaka eşittir haksız ve Adaletsiz kazanç yani haram kazanç
para;@TraderAT12 Evlilik masrafı belediye ödenen 350 TL harçtan başka bişey olmaması lazım. İnsan kndi eliyle evlenmeyi zorlaştırıyor.Yok isteme yok söz yok nişan yok kına yok kır bahçeli düğün yemekl ee Ne anladım evlilikten bu borçla mutlu mu olacğını zannediyorlr. Bir daha evlenirsm sistm bu
para;Bu hayatta bana en garip gelen şey ortada adı bile olmayan evlilik için yapılan çeyiz. Oğlum acayip saçma lan
para;@turkoshitpost Para okeyde evlilik?!?!
para;@Haberdar Ne alaka 25 yıl evlilik şartı, avrupada çocuk doğurmuş her kadın emeklilik yaşı gelince, örneğin fransada her doğum 3 yıllık trimestre yazılır 100 euro emeklilik maaşı çocuk başı. 4 çocuk doğurmuşsa 400 euro
para;@Emrolojix @omerdemircrypto @HASOsyalmedya @MuratMmturk @kriptowarrior Burada amaç iyi degil kadin haklari hesapta ama burada evlilik ortadan kalksin farkli hesaplar aileler hedefte gayri meşru iliskiler birliktelikteliklere yöneltiyorlar erkekler zaten maddi zorluklar icinde bitik durumda ve artik kimsenin gözü yemiyor kadınlara iyilik yapılmıyor
para;@ilk_57 Hayır. Diyanet kapatılsın,bütçesi zorunlu evlilik öncesi SMA taramasına ve zorunlu HPV aşısına aktarılsın.
para;@sevincozarslan Evlilik sayesinde vatandaşlık ticareti olarak okumladım. Herkese hayırlı işler alışverişler.
para;@adalet_bakanlik @bybekirbozdag @RTErdogan 5 ay evlilik çocuk yok eşit kusur 4 yıldır nafaka ödüyorum. Allahtan korkun bu yanlıştan dönün artık. Hakkımı gaspetmeyin!!!! @TBMMresmi @iletisim @adalet_bakanlik
para;cok guzel ya param olsa sunu ekine alip evlilik yuzugu fln derdim fakir era beni bitchlessliga zorluyo
para;"@trademasterr1 Evlilik şuan tamamen maddiyata bağlanmış bu zamanda 

Zaman onu gerektiriyor istersen veli kul ol yinede...."
para;Geçen denk geldim kız tarafı erkek tarafından 200 gr altın istemiş eşyaları da isim isim yazıp istek listesi yapmışlar.Evlilik süreci zaten madden manen alışmalı bir süreç.Birde yıpratıcı devasa isteklerle yıpranmayı desteklemek yerine yapıcı ve kolaylaştırıcı çözümler üretsek +
para;?? Zenginlik ?? para ?? evlilik ??
para;Buna mecburum çünkü Allah nasip eder de bir gün evlenirsem haliyle çok paraya ihtiyacım olacak. Bir yandan evlilik olasılığı, bir yandan fahiş fiyatlı kiralar, diğer yandan aşırı fiyat pahalılığının olduğu agresif geçiş döneminde bu eylemleri gerçekleştirmem en doğrusudur.
para;Evlilik denince aklıma dert, keder, düğün masrafları geliyor mutluluk göremiyorum
